,ItemCode,WoYY,DailySales
0,3418,2021-39,29
1,3418,2021-40,42
2,3418,2021-41,41
3,3418,2021-42,41
4,3418,2021-43,44
5,3418,2021-44,46
6,3418,2021-45,43
7,3418,2021-46,49
8,3418,2021-47,54
9,3418,2021-48,69
10,3418,2021-49,101
11,3418,2021-50,73
12,3418,2021-51,75
13,3418,2021-52,39
14,3418,2022-1,83
15,3418,2022-2,85
16,3418,2022-3,89
17,3418,2022-4,67
18,3418,2022-5,109
19,3418,2022-52,17
20,3418,2022-6,72
21,3427,2021-39,11
22,3427,2021-40,40
23,3427,2021-41,20
24,3427,2021-42,48
25,3427,2021-43,54
26,3427,2021-44,28
27,3427,2021-45,36
28,3427,2021-46,52
29,3427,2021-47,42
30,3427,2021-48,57
31,3427,2021-49,46
32,3427,2021-50,45
33,3427,2021-51,78
34,3427,2021-52,32
35,3427,2022-1,66
36,3427,2022-2,32
37,3427,2022-3,34
38,3427,2022-4,29
39,3427,2022-5,58
40,3427,2022-52,7
41,3427,2022-6,35
42,7666,2021-39,84
43,7666,2021-40,119
44,7666,2021-41,196
45,7666,2021-42,185
46,7666,2021-43,94
47,7666,2021-44,15
48,7666,2021-45,10
49,7666,2021-46,30
50,7666,2021-47,79
51,7666,2021-48,82
52,7666,2021-49,141
53,7666,2021-50,219
54,7666,2021-51,125
55,7666,2021-52,82
56,7666,2022-1,15
57,7666,2022-2,26
58,7666,2022-3,28
59,7666,2022-4,38
60,7666,2022-5,41
61,7666,2022-52,25
62,7666,2022-6,39
63,9925,2021-39,1
64,9925,2021-40,9
65,9925,2021-41,11
66,9925,2021-42,13
67,9925,2021-43,5
68,9925,2021-44,11
69,9925,2021-45,11
70,9925,2021-46,13
71,9925,2021-47,12
72,9925,2021-48,10
73,9925,2021-49,21
74,9925,2021-50,15
75,9925,2021-51,17
76,9925,2021-52,16
77,9925,2022-1,8
78,9925,2022-2,9
79,9925,2022-3,14
80,9925,2022-4,10
81,9925,2022-5,8
82,9925,2022-52,3
83,9925,2022-6,21
84,16936,2021-39,9
85,16936,2021-40,25
86,16936,2021-41,40
87,16936,2021-42,31
88,16936,2021-43,21
89,16936,2021-44,43
90,16936,2021-45,7
91,16936,2021-46,34
92,16936,2021-47,151
93,16936,2021-48,32
94,16936,2021-49,28
95,16936,2021-50,25
96,16936,2021-51,49
97,16936,2021-52,27
98,16936,2022-1,74
99,16936,2022-2,66
100,16936,2022-3,43
101,16936,2022-4,66
102,16936,2022-5,48
103,16936,2022-52,13
104,16936,2022-6,71
105,17287,2021-39,2
106,17287,2021-40,16
107,17287,2021-41,6
108,17287,2021-42,10
109,17287,2021-43,21
110,17287,2021-44,21
111,17287,2021-45,12
112,17287,2021-46,20
113,17287,2021-47,10
114,17287,2021-48,24
115,17287,2021-49,23
116,17287,2021-50,6
117,17287,2021-51,18
118,17287,2021-52,15
119,17287,2022-1,21
120,17287,2022-2,17
121,17287,2022-3,28
122,17287,2022-4,82
123,17287,2022-5,14
124,17287,2022-52,6
125,17287,2022-6,23
126,17296,2021-39,115
127,17296,2021-40,274
128,17296,2021-41,438
129,17296,2021-42,276
130,17296,2021-43,485
131,17296,2021-44,578
132,17296,2021-45,643
133,17296,2021-46,540
134,17296,2021-47,580
135,17296,2021-48,435
136,17296,2021-49,595
137,17296,2021-50,569
138,17296,2021-51,434
139,17296,2021-52,305
140,17296,2022-1,621
141,17296,2022-2,503
142,17296,2022-3,909
143,17296,2022-4,301
144,17296,2022-5,574
145,17296,2022-52,176
146,17296,2022-6,331
147,20824,2021-39,53
148,20824,2021-40,144
149,20824,2021-41,123
150,20824,2021-42,112
151,20824,2021-43,103
152,20824,2021-44,163
153,20824,2021-45,284
154,20824,2021-46,140
155,20824,2021-47,134
156,20824,2021-48,115
157,20824,2021-49,122
158,20824,2021-50,103
159,20824,2021-51,119
160,20824,2021-52,84
161,20824,2022-1,91
162,20824,2022-2,126
163,20824,2022-3,94
164,20824,2022-4,122
165,20824,2022-5,136
166,20824,2022-52,32
167,20824,2022-6,136
168,23200,2021-39,8
169,23200,2021-40,7
170,23200,2021-41,33
171,23200,2021-42,7
172,23200,2021-43,64
173,23200,2021-44,80
174,23200,2021-45,61
175,23200,2021-46,30
176,23200,2021-47,108
177,23200,2021-48,163
178,23200,2021-49,195
179,23200,2021-50,149
180,23200,2021-51,73
181,23200,2021-52,89
182,23200,2022-1,0
183,23200,2022-2,0
184,23200,2022-3,0
185,23200,2022-4,0
186,23200,2022-5,0
187,23200,2022-52,6
188,23200,2022-6,22
189,23569,2021-39,15
190,23569,2021-40,13
191,23569,2021-41,3
192,23569,2021-42,11
193,23569,2021-43,10
194,23569,2021-44,30
195,23569,2021-45,52
196,23569,2021-46,35
197,23569,2021-47,21
198,23569,2021-48,29
199,23569,2021-49,11
200,23569,2021-50,21
201,23569,2021-51,16
202,23569,2021-52,16
203,23569,2022-1,15
204,23569,2022-2,20
205,23569,2022-3,23
206,23569,2022-4,24
207,23569,2022-5,18
208,23569,2022-52,0
209,23569,2022-6,16
210,24136,2021-39,17
211,24136,2021-40,25
212,24136,2021-41,45
213,24136,2021-42,130
214,24136,2021-43,36
215,24136,2021-44,33
216,24136,2021-45,17
217,24136,2021-46,7
218,24136,2021-47,22
219,24136,2021-48,25
220,24136,2021-49,23
221,24136,2021-50,16
222,24136,2021-51,31
223,24136,2021-52,22
224,24136,2022-1,31
225,24136,2022-2,27
226,24136,2022-3,55
227,24136,2022-4,33
228,24136,2022-5,16
229,24136,2022-52,3
230,24136,2022-6,26
231,30877,2021-39,21
232,30877,2021-40,70
233,30877,2021-41,41
234,30877,2021-42,51
235,30877,2021-43,64
236,30877,2021-44,72
237,30877,2021-45,131
238,30877,2021-46,50
239,30877,2021-47,61
240,30877,2021-48,98
241,30877,2021-49,103
242,30877,2021-50,44
243,30877,2021-51,68
244,30877,2021-52,43
245,30877,2022-1,44
246,30877,2022-2,64
247,30877,2022-3,114
248,30877,2022-4,107
249,30877,2022-5,71
250,30877,2022-52,7
251,30877,2022-6,92
252,32245,2021-39,26
253,32245,2021-40,41
254,32245,2021-41,24
255,32245,2021-42,45
256,32245,2021-43,28
257,32245,2021-44,27
258,32245,2021-45,29
259,32245,2021-46,40
260,32245,2021-47,29
261,32245,2021-48,46
262,32245,2021-49,38
263,32245,2021-50,18
264,32245,2021-51,53
265,32245,2021-52,24
266,32245,2022-1,78
267,32245,2022-2,30
268,32245,2022-3,51
269,32245,2022-4,51
270,32245,2022-5,51
271,32245,2022-52,5
272,32245,2022-6,51
273,35449,2021-39,2
274,35449,2021-40,1
275,35449,2021-41,3
276,35449,2021-42,6
277,35449,2021-43,6
278,35449,2021-44,5
279,35449,2021-45,7
280,35449,2021-46,5
281,35449,2021-47,18
282,35449,2021-48,11
283,35449,2021-49,27
284,35449,2021-50,17
285,35449,2021-51,20
286,35449,2021-52,1
287,35449,2022-1,14
288,35449,2022-2,15
289,35449,2022-3,11
290,35449,2022-4,16
291,35449,2022-5,23
292,35449,2022-52,0
293,35449,2022-6,29
294,35530,2021-39,2
295,35530,2021-40,21
296,35530,2021-41,24
297,35530,2021-42,7
298,35530,2021-43,15
299,35530,2021-44,3
300,35530,2021-45,18
301,35530,2021-46,3
302,35530,2021-47,20
303,35530,2021-48,6
304,35530,2021-49,21
305,35530,2021-50,7
306,35530,2021-51,16
307,35530,2021-52,4
308,35530,2022-1,16
309,35530,2022-2,17
310,35530,2022-3,10
311,35530,2022-4,16
312,35530,2022-5,0
313,35530,2022-52,4
314,35530,2022-6,22
315,35584,2021-39,1
316,35584,2021-40,6
317,35584,2021-41,5
318,35584,2021-42,4
319,35584,2021-43,8
320,35584,2021-44,2
321,35584,2021-45,2
322,35584,2021-46,5
323,35584,2021-47,4
324,35584,2021-48,7
325,35584,2021-49,8
326,35584,2021-50,12
327,35584,2021-51,19
328,35584,2021-52,4
329,35584,2022-1,4
330,35584,2022-2,22
331,35584,2022-3,4
332,35584,2022-4,5
333,35584,2022-5,5
334,35584,2022-52,0
335,35584,2022-6,10
336,36898,2021-39,17
337,36898,2021-40,55
338,36898,2021-41,40
339,36898,2021-42,90
340,36898,2021-43,82
341,36898,2021-44,74
342,36898,2021-45,58
343,36898,2021-46,70
344,36898,2021-47,62
345,36898,2021-48,85
346,36898,2021-49,76
347,36898,2021-50,60
348,36898,2021-51,76
349,36898,2021-52,57
350,36898,2022-1,105
351,36898,2022-2,90
352,36898,2022-3,118
353,36898,2022-4,53
354,36898,2022-5,77
355,36898,2022-52,18
356,36898,2022-6,70
357,37510,2021-39,1
358,37510,2021-40,12
359,37510,2021-41,6
360,37510,2021-42,6
361,37510,2021-43,10
362,37510,2021-44,11
363,37510,2021-45,7
364,37510,2021-46,3
365,37510,2021-47,2
366,37510,2021-48,4
367,37510,2021-49,12
368,37510,2021-50,7
369,37510,2021-51,4
370,37510,2021-52,4
371,37510,2022-1,8
372,37510,2022-2,7
373,37510,2022-3,7
374,37510,2022-4,6
375,37510,2022-5,8
376,37510,2022-52,0
377,37510,2022-6,11
378,37861,2021-39,77
379,37861,2021-40,168
380,37861,2021-41,89
381,37861,2021-42,78
382,37861,2021-43,125
383,37861,2021-44,143
384,37861,2021-45,80
385,37861,2021-46,83
386,37861,2021-47,143
387,37861,2021-48,131
388,37861,2021-49,127
389,37861,2021-50,91
390,37861,2021-51,143
391,37861,2021-52,96
392,37861,2022-1,206
393,37861,2022-2,144
394,37861,2022-3,126
395,37861,2022-4,165
396,37861,2022-5,241
397,37861,2022-52,14
398,37861,2022-6,239
399,38518,2021-39,9
400,38518,2021-40,25
401,38518,2021-41,13
402,38518,2021-42,19
403,38518,2021-43,9
404,38518,2021-44,6
405,38518,2021-45,8
406,38518,2021-46,12
407,38518,2021-47,18
408,38518,2021-48,14
409,38518,2021-49,28
410,38518,2021-50,16
411,38518,2021-51,12
412,38518,2021-52,10
413,38518,2022-1,30
414,38518,2022-2,17
415,38518,2022-3,12
416,38518,2022-4,18
417,38518,2022-5,17
418,38518,2022-52,8
419,38518,2022-6,35
420,39436,2021-39,139
421,39436,2021-40,161
422,39436,2021-41,93
423,39436,2021-42,26
424,39436,2021-43,22
425,39436,2021-44,15
426,39436,2021-45,21
427,39436,2021-46,10
428,39436,2021-47,10
429,39436,2021-48,11
430,39436,2021-49,10
431,39436,2021-50,22
432,39436,2021-51,16
433,39436,2021-52,13
434,39436,2022-1,16
435,39436,2022-2,14
436,39436,2022-3,22
437,39436,2022-4,21
438,39436,2022-5,18
439,39436,2022-52,2
440,39436,2022-6,23
441,40759,2021-39,38
442,40759,2021-40,59
443,40759,2021-41,46
444,40759,2021-42,43
445,40759,2021-43,62
446,40759,2021-44,62
447,40759,2021-45,35
448,40759,2021-46,34
449,40759,2021-47,56
450,40759,2021-48,63
451,40759,2021-49,87
452,40759,2021-50,122
453,40759,2021-51,155
454,40759,2021-52,60
455,40759,2022-1,37
456,40759,2022-2,59
457,40759,2022-3,38
458,40759,2022-4,58
459,40759,2022-5,53
460,40759,2022-52,9
461,40759,2022-6,26
462,41830,2021-39,3
463,41830,2021-40,17
464,41830,2021-41,15
465,41830,2021-42,12
466,41830,2021-43,20
467,41830,2021-44,8
468,41830,2021-45,7
469,41830,2021-46,24
470,41830,2021-47,28
471,41830,2021-48,14
472,41830,2021-49,13
473,41830,2021-50,20
474,41830,2021-51,17
475,41830,2021-52,16
476,41830,2022-1,19
477,41830,2022-2,14
478,41830,2022-3,16
479,41830,2022-4,15
480,41830,2022-5,22
481,41830,2022-52,9
482,41830,2022-6,9
483,42424,2021-39,13
484,42424,2021-40,24
485,42424,2021-41,33
486,42424,2021-42,12
487,42424,2021-43,22
488,42424,2021-44,23
489,42424,2021-45,27
490,42424,2021-46,23
491,42424,2021-47,28
492,42424,2021-48,33
493,42424,2021-49,58
494,42424,2021-50,41
495,42424,2021-51,62
496,42424,2021-52,21
497,42424,2022-1,39
498,42424,2022-2,61
499,42424,2022-3,37
500,42424,2022-4,41
501,42424,2022-5,61
502,42424,2022-52,6
503,42424,2022-6,59
504,42496,2021-39,19
505,42496,2021-40,11
506,42496,2021-41,22
507,42496,2021-42,22
508,42496,2021-43,45
509,42496,2021-44,22
510,42496,2021-45,32
511,42496,2021-46,24
512,42496,2021-47,20
513,42496,2021-48,38
514,42496,2021-49,102
515,42496,2021-50,29
516,42496,2021-51,43
517,42496,2021-52,40
518,42496,2022-1,36
519,42496,2022-2,35
520,42496,2022-3,37
521,42496,2022-4,39
522,42496,2022-5,42
523,42496,2022-52,7
524,42496,2022-6,30
525,43630,2021-39,9
526,43630,2021-40,31
527,43630,2021-41,20
528,43630,2021-42,21
529,43630,2021-43,33
530,43630,2021-44,24
531,43630,2021-45,31
532,43630,2021-46,25
533,43630,2021-47,27
534,43630,2021-48,29
535,43630,2021-49,39
536,43630,2021-50,22
537,43630,2021-51,22
538,43630,2021-52,16
539,43630,2022-1,32
540,43630,2022-2,22
541,43630,2022-3,36
542,43630,2022-4,52
543,43630,2022-5,25
544,43630,2022-52,5
545,43630,2022-6,49
546,43657,2021-39,3
547,43657,2021-40,12
548,43657,2021-41,4
549,43657,2021-42,3
550,43657,2021-43,4
551,43657,2021-44,14
552,43657,2021-45,9
553,43657,2021-46,8
554,43657,2021-47,5
555,43657,2021-48,9
556,43657,2021-49,9
557,43657,2021-50,7
558,43657,2021-51,10
559,43657,2021-52,11
560,43657,2022-1,8
561,43657,2022-2,9
562,43657,2022-3,6
563,43657,2022-4,11
564,43657,2022-5,16
565,43657,2022-52,2
566,43657,2022-6,23
567,43738,2021-39,10
568,43738,2021-40,11
569,43738,2021-41,13
570,43738,2021-42,8
571,43738,2021-43,13
572,43738,2021-44,5
573,43738,2021-45,11
574,43738,2021-46,12
575,43738,2021-47,27
576,43738,2021-48,17
577,43738,2021-49,19
578,43738,2021-50,18
579,43738,2021-51,24
580,43738,2021-52,11
581,43738,2022-1,25
582,43738,2022-2,30
583,43738,2022-3,28
584,43738,2022-4,17
585,43738,2022-5,17
586,43738,2022-52,1
587,43738,2022-6,31
588,48940,2021-39,2
589,48940,2021-40,10
590,48940,2021-41,16
591,48940,2021-42,8
592,48940,2021-43,12
593,48940,2021-44,12
594,48940,2021-45,12
595,48940,2021-46,18
596,48940,2021-47,18
597,48940,2021-48,11
598,48940,2021-49,6
599,48940,2021-50,12
600,48940,2021-51,23
601,48940,2021-52,15
602,48940,2022-1,21
603,48940,2022-2,25
604,48940,2022-3,9
605,48940,2022-4,28
606,48940,2022-5,17
607,48940,2022-52,3
608,48940,2022-6,16
609,50785,2021-39,9
610,50785,2021-40,18
611,50785,2021-41,5
612,50785,2021-42,10
613,50785,2021-43,22
614,50785,2021-44,28
615,50785,2021-45,12
616,50785,2021-46,21
617,50785,2021-47,24
618,50785,2021-48,10
619,50785,2021-49,15
620,50785,2021-50,7
621,50785,2021-51,7
622,50785,2021-52,2
623,50785,2022-1,5
624,50785,2022-2,19
625,50785,2022-3,29
626,50785,2022-4,33
627,50785,2022-5,10
628,50785,2022-52,4
629,50785,2022-6,65
630,57058,2021-39,5
631,57058,2021-40,11
632,57058,2021-41,6
633,57058,2021-42,4
634,57058,2021-43,2
635,57058,2021-44,5
636,57058,2021-45,10
637,57058,2021-46,4
638,57058,2021-47,7
639,57058,2021-48,3
640,57058,2021-49,13
641,57058,2021-50,4
642,57058,2021-51,3
643,57058,2021-52,8
644,57058,2022-1,3
645,57058,2022-2,7
646,57058,2022-3,16
647,57058,2022-4,12
648,57058,2022-5,12
649,57058,2022-52,5
650,57058,2022-6,5
651,59047,2021-39,3
652,59047,2021-40,5
653,59047,2021-41,4
654,59047,2021-42,1
655,59047,2021-43,17
656,59047,2021-44,15
657,59047,2021-45,3
658,59047,2021-46,9
659,59047,2021-47,0
660,59047,2021-48,8
661,59047,2021-49,12
662,59047,2021-50,11
663,59047,2021-51,8
664,59047,2021-52,2
665,59047,2022-1,8
666,59047,2022-2,37
667,59047,2022-3,8
668,59047,2022-4,16
669,59047,2022-5,7
670,59047,2022-52,0
671,59047,2022-6,4
672,59749,2021-39,26
673,59749,2021-40,44
674,59749,2021-41,37
675,59749,2021-42,38
676,59749,2021-43,44
677,59749,2021-44,28
678,59749,2021-45,44
679,59749,2021-46,28
680,59749,2021-47,38
681,59749,2021-48,61
682,59749,2021-49,70
683,59749,2021-50,82
684,59749,2021-51,99
685,59749,2021-52,59
686,59749,2022-1,55
687,59749,2022-2,47
688,59749,2022-3,45
689,59749,2022-4,44
690,59749,2022-5,35
691,59749,2022-52,24
692,59749,2022-6,32
693,64978,2021-39,2
694,64978,2021-40,8
695,64978,2021-41,3
696,64978,2021-42,2
697,64978,2021-43,6
698,64978,2021-44,4
699,64978,2021-45,7
700,64978,2021-46,3
701,64978,2021-47,12
702,64978,2021-48,9
703,64978,2021-49,6
704,64978,2021-50,3
705,64978,2021-51,3
706,64978,2021-52,1
707,64978,2022-1,3
708,64978,2022-2,4
709,64978,2022-3,1
710,64978,2022-4,3
711,64978,2022-5,5
712,64978,2022-52,1
713,64978,2022-6,5
714,65788,2021-39,26
715,65788,2021-40,46
716,65788,2021-41,54
717,65788,2021-42,52
718,65788,2021-43,32
719,65788,2021-44,4
720,65788,2021-45,12
721,65788,2021-46,8
722,65788,2021-47,10
723,65788,2021-48,15
724,65788,2021-49,13
725,65788,2021-50,11
726,65788,2021-51,7
727,65788,2021-52,11
728,65788,2022-1,12
729,65788,2022-2,8
730,65788,2022-3,9
731,65788,2022-4,17
732,65788,2022-5,9
733,65788,2022-52,3
734,65788,2022-6,9
735,75886,2021-39,7
736,75886,2021-40,12
737,75886,2021-41,8
738,75886,2021-42,10
739,75886,2021-43,10
740,75886,2021-44,3
741,75886,2021-45,9
742,75886,2021-46,3
743,75886,2021-47,13
744,75886,2021-48,15
745,75886,2021-49,8
746,75886,2021-50,17
747,75886,2021-51,7
748,75886,2021-52,9
749,75886,2022-1,9
750,75886,2022-2,9
751,75886,2022-3,0
752,75886,2022-4,6
753,75886,2022-5,12
754,75886,2022-52,4
755,75886,2022-6,14
756,76399,2021-39,21
757,76399,2021-40,11
758,76399,2021-41,12
759,76399,2021-42,31
760,76399,2021-43,23
761,76399,2021-44,18
762,76399,2021-45,35
763,76399,2021-46,29
764,76399,2021-47,19
765,76399,2021-48,25
766,76399,2021-49,16
767,76399,2021-50,31
768,76399,2021-51,39
769,76399,2021-52,21
770,76399,2022-1,45
771,76399,2022-2,39
772,76399,2022-3,60
773,76399,2022-4,55
774,76399,2022-5,18
775,76399,2022-52,4
776,86974,2021-39,12
777,86974,2021-40,20
778,86974,2021-41,17
779,86974,2021-42,2
780,86974,2021-43,1
781,86974,2021-44,35
782,86974,2021-45,1
783,86974,2021-46,14
784,86974,2021-47,11
785,86974,2021-48,8
786,86974,2021-49,30
787,86974,2021-50,20
788,86974,2021-51,19
789,86974,2021-52,29
790,86974,2022-1,36
791,86974,2022-2,23
792,86974,2022-3,25
793,86974,2022-4,0
794,86974,2022-5,23
795,86974,2022-52,14
796,86992,2021-39,5
797,86992,2021-40,43
798,86992,2021-41,31
799,86992,2021-42,37
800,86992,2021-43,45
801,86992,2021-44,41
802,86992,2021-45,33
803,86992,2021-46,61
804,86992,2021-47,50
805,86992,2021-48,43
806,86992,2021-49,54
807,86992,2021-50,65
808,86992,2021-51,55
809,86992,2021-52,57
810,86992,2022-1,41
811,86992,2022-2,52
812,86992,2022-3,72
813,86992,2022-4,79
814,86992,2022-5,75
815,86992,2022-52,14
816,86992,2022-6,104
817,87046,2021-39,6
818,87046,2021-40,6
819,87046,2021-41,6
820,87046,2021-42,1
821,87046,2021-43,0
822,87046,2021-44,11
823,87046,2021-45,15
824,87046,2021-46,7
825,87046,2021-47,5
826,87046,2021-48,7
827,87046,2021-49,17
828,87046,2021-50,12
829,87046,2021-51,17
830,87046,2021-52,15
831,87046,2022-1,7
832,87046,2022-2,13
833,87046,2022-3,10
834,87046,2022-52,3
835,87559,2021-39,8
836,87559,2021-40,30
837,87559,2021-41,11
838,87559,2021-42,18
839,87559,2021-43,21
840,87559,2021-44,13
841,87559,2021-45,14
842,87559,2021-46,24
843,87559,2021-47,14
844,87559,2021-48,15
845,87559,2021-49,15
846,87559,2021-50,48
847,87559,2021-51,34
848,87559,2021-52,47
849,87559,2022-1,28
850,87559,2022-2,31
851,87559,2022-3,18
852,87559,2022-4,31
853,87559,2022-5,29
854,87559,2022-52,7
855,87559,2022-6,30
856,88450,2021-39,65
857,88450,2021-40,91
858,88450,2021-41,139
859,88450,2021-42,64
860,88450,2021-43,137
861,88450,2021-44,142
862,88450,2021-45,123
863,88450,2021-46,93
864,88450,2021-47,115
865,88450,2021-48,48
866,88450,2021-49,99
867,88450,2021-50,61
868,88450,2021-51,111
869,88450,2021-52,93
870,88450,2022-1,30
871,88450,2022-2,85
872,88450,2022-3,83
873,88450,2022-4,85
874,88450,2022-5,74
875,88450,2022-52,13
876,88450,2022-6,96
877,99079,2021-39,9
878,99079,2021-40,20
879,99079,2021-41,13
880,99079,2021-42,12
881,99079,2021-43,23
882,99079,2021-44,25
883,99079,2021-45,15
884,99079,2021-46,19
885,99079,2021-47,32
886,99079,2021-48,21
887,99079,2021-49,17
888,99079,2021-50,14
889,99079,2021-51,35
890,99079,2021-52,8
891,99079,2022-1,23
892,99079,2022-2,12
893,99079,2022-3,36
894,99079,2022-4,16
895,99079,2022-5,16
896,99079,2022-52,13
897,99079,2022-6,17
898,110320,2021-39,13
899,110320,2021-40,37
900,110320,2021-41,36
901,110320,2021-42,22
902,110320,2021-43,48
903,110320,2021-44,49
904,110320,2021-45,38
905,110320,2021-46,40
906,110320,2021-47,50
907,110320,2021-48,54
908,110320,2021-49,53
909,110320,2021-50,58
910,110320,2021-51,47
911,110320,2021-52,39
912,110320,2022-1,47
913,110320,2022-2,54
914,110320,2022-3,52
915,110320,2022-4,46
916,110320,2022-5,28
917,110320,2022-52,9
918,110320,2022-6,31
919,111382,2021-39,8
920,111382,2021-40,24
921,111382,2021-41,21
922,111382,2021-42,11
923,111382,2021-43,18
924,111382,2021-44,11
925,111382,2021-45,15
926,111382,2021-46,10
927,111382,2021-47,16
928,111382,2021-48,16
929,111382,2021-49,15
930,111382,2021-50,7
931,111382,2021-51,7
932,111382,2021-52,15
933,111382,2022-1,9
934,111382,2022-2,11
935,111382,2022-3,9
936,111382,2022-4,11
937,111382,2022-5,13
938,111382,2022-52,3
939,111382,2022-6,10
940,111436,2021-39,3
941,111436,2021-40,6
942,111436,2021-41,11
943,111436,2021-42,6
944,111436,2021-43,6
945,111436,2021-44,2
946,111436,2021-45,5
947,111436,2021-46,4
948,111436,2021-47,8
949,111436,2021-48,20
950,111436,2021-49,14
951,111436,2021-50,14
952,111436,2021-51,8
953,111436,2021-52,14
954,111436,2022-1,6
955,111436,2022-2,13
956,111436,2022-3,17
957,111436,2022-4,7
958,111436,2022-5,9
959,111436,2022-52,5
960,111436,2022-6,9
961,117610,2021-39,4
962,117610,2021-40,11
963,117610,2021-41,11
964,117610,2021-42,14
965,117610,2021-43,27
966,117610,2021-44,65
967,117610,2021-45,29
968,117610,2021-46,21
969,117610,2021-47,26
970,117610,2021-48,7
971,117610,2021-49,4
972,117610,2021-50,28
973,117610,2021-51,8
974,117610,2021-52,3
975,117610,2022-1,6
976,117610,2022-2,11
977,117610,2022-3,6
978,117610,2022-4,7
979,117610,2022-5,10
980,117610,2022-52,8
981,117610,2022-6,7
982,118033,2021-39,7
983,118033,2021-40,7
984,118033,2021-41,12
985,118033,2021-42,12
986,118033,2021-43,13
987,118033,2021-44,11
988,118033,2021-45,16
989,118033,2021-46,16
990,118033,2021-47,12
991,118033,2021-48,11
992,118033,2021-49,8
993,118033,2021-50,11
994,118033,2021-51,13
995,118033,2021-52,31
996,118033,2022-1,27
997,118033,2022-2,14
998,118033,2022-3,14
999,118033,2022-4,21
1000,118033,2022-5,18
1001,118033,2022-52,6
1002,118033,2022-6,8
1003,119554,2021-39,26
1004,119554,2021-40,108
1005,119554,2021-41,120
1006,119554,2021-42,110
1007,119554,2021-43,109
1008,119554,2021-44,137
1009,119554,2021-45,127
1010,119554,2021-46,139
1011,119554,2021-47,217
1012,119554,2021-48,166
1013,119554,2021-49,207
1014,119554,2021-50,140
1015,119554,2021-51,184
1016,119554,2021-52,136
1017,119554,2022-1,265
1018,119554,2022-2,196
1019,119554,2022-3,196
1020,119554,2022-4,150
1021,119554,2022-5,192
1022,119554,2022-52,28
1023,119554,2022-6,140
1024,123307,2021-39,242
1025,123307,2021-40,569
1026,123307,2021-41,493
1027,123307,2021-42,378
1028,123307,2021-43,552
1029,123307,2021-44,330
1030,123307,2021-45,397
1031,123307,2021-46,332
1032,123307,2021-47,409
1033,123307,2021-48,400
1034,123307,2021-49,396
1035,123307,2021-50,516
1036,123307,2021-51,683
1037,123307,2021-52,608
1038,123307,2022-1,632
1039,123307,2022-2,539
1040,123307,2022-3,527
1041,123307,2022-4,356
1042,123307,2022-5,376
1043,123307,2022-52,123
1044,123307,2022-6,555
1045,124774,2021-39,3
1046,124774,2021-40,26
1047,124774,2021-41,25
1048,124774,2021-42,23
1049,124774,2021-43,19
1050,124774,2021-44,22
1051,124774,2021-45,15
1052,124774,2021-46,25
1053,124774,2021-47,20
1054,124774,2021-48,24
1055,124774,2021-49,27
1056,124774,2021-50,49
1057,124774,2021-51,17
1058,124774,2021-52,18
1059,124774,2022-1,21
1060,124774,2022-2,49
1061,124774,2022-3,20
1062,124774,2022-4,2
1063,124774,2022-5,0
1064,124774,2022-52,7
1065,124774,2022-6,7
1066,124954,2021-39,7
1067,124954,2021-40,9
1068,124954,2021-41,13
1069,124954,2021-42,18
1070,124954,2021-43,31
1071,124954,2021-44,39
1072,124954,2021-45,35
1073,124954,2021-46,49
1074,124954,2021-47,23
1075,124954,2021-48,15
1076,124954,2021-49,14
1077,124954,2021-50,19
1078,124954,2021-51,12
1079,124954,2021-52,14
1080,124954,2022-1,20
1081,124954,2022-2,13
1082,124954,2022-3,8
1083,124954,2022-4,30
1084,124954,2022-5,27
1085,124954,2022-52,3
1086,124954,2022-6,32
1087,130993,2021-39,7
1088,130993,2021-40,19
1089,130993,2021-41,7
